"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","agentconnect.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","agentconnect.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","agentconnect.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","agentconnect.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","agentconnect.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","agentconnect.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","agentconnect.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","agentconnect.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","agentconnect.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","agentconnect.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","agentconnect.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","agentconnect.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","agentconnect.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","agentconnect.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","agentconnect.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","agentconnect.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","agentconnect.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","agentconnect.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","agentconnect.gouv.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","agentconnect.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","agentconnect.gouv.fr/109.232.236.90","443","OK","server","",""
"FS","agentconnect.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","agentconnect.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","agentconnect.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","agentconnect.gouv.fr/109.232.236.90","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","agentconnect.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","agentconnect.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","agentconnect.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","agentconnect.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","agentconnect.gouv.fr/109.232.236.90","443","INFO","random","",""
"certificate_compression","agentconnect.gouv.fr/109.232.236.90","443","INFO","none","",""
"clientAuth","agentconnect.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","agentconnect.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","agentconnect.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","agentconnect.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","agentconnect.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","agentconnect.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","agentconnect.gouv.fr/109.232.236.90","443","INFO","035DB307AA8197B6948FB9B52C7EAA2E053C","",""
"cert_serialNumberLen","agentconnect.gouv.fr/109.232.236.90","443","INFO","18","",""
