"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","HTTP","",""
"pre_128cipher","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","No 128 cipher limit bug","",""
"SSLv2","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","not offered","",""
"SSLv3","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","not offered","",""
"TLS1","app.dvf.etalab.gouv.fr/51.68.252.34","443","LOW","offered (deprecated)","",""
"TLS1_1","app.dvf.etalab.gouv.fr/51.68.252.34","443","LOW","offered (deprecated)","",""
"TLS1_2","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","offered","",""
"TLS1_3","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","h2","",""
"ALPN","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","http/1.1","",""
"cipherlist_NULL","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","not offered","","CWE-327"
"cipherlist_LOW","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","app.dvf.etalab.gouv.fr/51.68.252.34","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","offered","",""
"cipherlist_STRONG_FS","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","offered","",""
"cipher_order-tls1","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","server","",""
"cipherorder_TLSv1","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","server","",""
"cipherorder_TLSv1_1","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","server","",""
"cipherorder_TLSv1_2","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","server","",""
"FS","app.dvf.etalab.gouv.fr/51.68.252.34","443","OK","offered","",""
"FS_ciphers","app.dvf.etalab.gouv.fr/51.68.252.34","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
