"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","tchap.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","tchap.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","tchap.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","tchap.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","tchap.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","tchap.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","tchap.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","tchap.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","tchap.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","tchap.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","tchap.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","tchap.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","tchap.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","tchap.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","tchap.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","tchap.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","tchap.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","tchap.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","tchap.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","tchap.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","tchap.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","tchap.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","tchap.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","tchap.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","tchap.beta.gouv.fr/185.21.194.105","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","tchap.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","tchap.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","tchap.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","tchap.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","tchap.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","tchap.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","tchap.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","tchap.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","tchap.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","tchap.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","tchap.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","tchap.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","tchap.beta.gouv.fr/185.21.194.105","443","INFO","0AD42F618C24ABEFA7E1527547B2E62B","",""
"cert_serialNumberLen","tchap.beta.gouv.fr/185.21.194.105","443","INFO","16","",""
"cert_fingerprintSHA1","tchap.beta.gouv.fr/185.21.194.105","443","INFO","4EA30214F1A4C91BF3E3F290E64940E5381F8C1D","",""
"cert_fingerprintSHA256","tchap.beta.gouv.fr/185.21.194.105","443","INFO","E9609F8268F8F581E85A278E1A91F58B0740A69CE9BC2B9B7C37DDDB4F1C034C","",""
